Date,Dividends
2013-03-08,0.470000
2013-05-08,0.470000
2013-08-07,0.470000
2013-12-04,0.470000
2014-03-07,0.480000
2014-05-07,0.480000
2014-08-06,0.480000
2014-12-03,0.480000
2015-03-11,0.490000
2015-05-06,0.490000
2015-08-05,0.490000
2015-12-02,0.490000
2016-03-09,0.500000
2016-05-11,0.500000
2016-08-10,0.500000
2016-12-07,0.500000
2017-03-08,0.510000
2017-05-10,0.510000
2017-08-09,0.510000
2017-12-07,0.510000
2018-03-08,0.520000
2018-05-10,0.520000
2018-08-09,0.520000
2018-12-06,0.520000
2019-03-14,0.530000
2019-05-09,0.530000
2019-08-08,0.530000
2019-12-05,0.530000
2020-03-19,0.540000
2020-05-07,0.540000
2020-08-13,0.540000
2020-12-10,0.540000
2021-03-18,0.550000
2021-05-06,0.550000
2021-08-12,0.550000
2021-12-09,0.550000
2022-03-17,0.560000
2022-05-05,0.560000
2022-08-11,0.560000
2022-12-08,0.560000
